writtenForm	lemgram	frequency	animacy	path
gulsparv	gulsparv..nn.1	177	animate	gulsparv → sparv → småfågel → fågel → djur → varelse → vem → PRIM..1
stenskvätta	stenskvätta..nn.1	107	animate	stenskvätta → trastfågel → trast → fågel → djur → varelse → vem → PRIM..1
rapphöna	rapphöna..nn.1	153	animate	rapphöna → fågel → djur → varelse → vem → PRIM..1
vombat	vombat..nn.1	162	animate	vombat → pungdjur → djur → varelse → vem → PRIM..1
husbock	husbock..nn.1	104	animate	husbock → skalbagge → insekt → djur → varelse → vem → PRIM..1
åda	åda..nn.1	202	animate	åda → ejderhona → ejder → sjöfågel → fågel → djur → varelse → vem → PRIM..1
björkna	björkna..nn.1	308	animate	björkna → karpfisk → karp → fisk → djur → varelse → vem → PRIM..1
krutgubbe	krutgubbe..nn.1	322	animate	krutgubbe → gubbe → man → människa → vem → PRIM..1
stadsbarn	stadsbarn..nn.1	314	animate	stadsbarn → barna → människa → vem → PRIM..1
pullande	pullande..nn.1	233	animate	pullande → pulla → travhäst → häst → husdjur → djur → varelse → vem → PRIM..1
gumse	gumse..nn.1	472	animate	gumse → bagge → får → husdjur → djur → varelse → vem → PRIM..1
prärievarg	prärievarg..nn.1	558	animate	prärievarg → varg → hund → djur → varelse → vem → PRIM..1
fiskrom	fiskrom..nn.1	460	animate	fiskrom → rom → fisk → djur → varelse → vem → PRIM..1
folklivsforskare	folklivsforskare..nn.1	463	animate	folklivsforskare → folkliv → folk → människa → vem → PRIM..1
fiskyngel	fiskyngel..nn.1	556	animate	fiskyngel → yngel → unge → djur → varelse → vem → PRIM..1
shetlandsponny	shetlandsponny..nn.1	1091	animate	shetlandsponny → ponny → häst → husdjur → djur → varelse → vem → PRIM..1
pytonorm	pytonorm..nn.1	1161	animate	pytonorm → orm → djur → varelse → vem → PRIM..1
slamkrypare	slamkrypare..nn.1	934	animate	slamkrypare → fisk → djur → varelse → vem → PRIM..1
sångsvan	sångsvan..nn.1	914	animate	sångsvan → svan → sjöfågel → fågel → djur → varelse → vem → PRIM..1
sälunge	sälunge..nn.1	1024	animate	sälunge → säl → djur → varelse → vem → PRIM..1
dromedar	dromedar..nn.1	2000	animate	dromedar → kamel → djur → varelse → vem → PRIM..1
gråsäl	gråsäl..nn.1	1359	animate	gråsäl → säl → djur → varelse → vem → PRIM..1
myrslok	myrslok..nn.1	1687	animate	myrslok → djur → varelse → vem → PRIM..1
giftorm	giftorm..nn.1	2030	animate	giftorm → orm → djur → varelse → vem → PRIM..1
kätte	kätte..nn.1	1397	animate	kätte → ladugård → boskap → husdjur → djur → varelse → vem → PRIM..1
fink	fink..nn.1	3478	animate	fink → småfågel → fågel → djur → varelse → vem → PRIM..1
spinnare	spinnare..nn.1	2514	animate	spinnare → spinnarfjäril → fjäril → insekt → djur → varelse → vem → PRIM..1
kuttersmycke	kuttersmycke..nn.1	2782	animate	kuttersmycke → flicka → barna → människa → vem → PRIM..1
själsliv	själsliv..nn.1	2339	animate	själsliv → själ → människa → vem → PRIM..1
avelsdjur	avelsdjur..nn.1	2433	animate	avelsdjur → djur → varelse → vem → PRIM..1
yngel	yngel..nn.1	5983	animate	yngel → unge → djur → varelse → vem → PRIM..1
kulturpersonlighet	kulturpersonlighet..nn.1	4420	animate	kulturpersonlighet → personlighet → person → människa → vem → PRIM..1
valkyria	valkyria..nn.1	6627	animate	valkyria → kvinna → människa → vem → PRIM..1
människosläkte	människosläkte..nn.1	6244	animate	människosläkte → mänsklighet → människa → vem → PRIM..1
daggmask	daggmask..nn.1	5652	animate	daggmask → mask → djur → varelse → vem → PRIM..1
snögubbe	snögubbe..nn.1	9779	animate	snögubbe → gubbe → man → människa → vem → PRIM..1
enhörning	enhörning..nn.1	14108	animate	enhörning → fantasidjur → djur → varelse → vem → PRIM..1
underbarn	underbarn..nn.1	7185	animate	underbarn → barna → människa → vem → PRIM..1
mört	mört..nn.1	11654	animate	mört → fisk → djur → varelse → vem → PRIM..1
medsyster	medsyster..nn.1	9727	animate	medsyster → medmänniska → människa → vem → PRIM..1
pingvin	pingvin..nn.1	18022	animate	pingvin → fågel → djur → varelse → vem → PRIM..1
ladugård	ladugård..nn.1	27270	animate	ladugård → boskap → husdjur → djur → varelse → vem → PRIM..1
snok	snok..nn.1	15852	animate	snok → orm → djur → varelse → vem → PRIM..1
hummer	hummer..nn.1	21107	animate	hummer → skaldjur → djur → varelse → vem → PRIM..1
nattfly	nattfly..nn.1	40612	animate	nattfly → nattfjäril → fjäril → insekt → djur → varelse → vem → PRIM..1
individ	individ..nn.1	863980	animate	individ → person → människa → vem → PRIM..1
flyktingbarn	flyktingbarn..nn.1	57213	animate	flyktingbarn → barna → människa → vem → PRIM..1
fjäril	fjäril..nn.1	68852	animate	fjäril → insekt → djur → varelse → vem → PRIM..1
sill	sill..nn.1	90875	animate	sill → fisk → djur → varelse → vem → PRIM..1
svärmor	svärmor..nn.1	288469	animate	svärmor → mor → kvinna → människa → vem → PRIM..1
