writtenForm	lemgram	frequency	animacy	path
trafiksäkerhetschef	trafiksäkerhetschef..nn.1	182	inanimate	trafiksäkerhetschef → chef → ledare → leda → bestämma → avgöra → fast → röra → PRIM..1
panoptikon	panoptikon..nn.1	124	inanimate	panoptikon → vaxkabinett → utställning → visa → se → ljus → PRIM..1
barrskogsregion	barrskogsregion..nn.1	107	inanimate	barrskogsregion → region → område → plats → var → PRIM..1
retort	retort..nn.1	177	inanimate	retort → glaskolv → kolv → kärl → förvara → ha → PRIM..1
tankeflykt	tankeflykt..nn.1	102	inanimate	tankeflykt → flykt → flyga → röra → PRIM..1
epitel	epitel..nn.1	310	inanimate	epitel → vävnad → kropp → varelse → vem → PRIM..1
upptuktelse	upptuktelse..nn.1	338	inanimate	upptuktelse → tillrättavisning → tillrättavisa → kritisera → kritik → invända → säga → PRIM..1
dräpande	dräpande..nn.1	250	inanimate	dräpande → dräpa → dråp → döda → dö → leva → vara → PRIM..1
mittskepp	mittskepp..nn.1	196	inanimate	mittskepp → mittparti → parti → del → hel → all → PRIM..1
bakteriolog	bakteriolog..nn.1	194	inanimate	bakteriolog → bakteriologi → vetenskap → veta → PRIM..1
okular	okular..nn.1	459	inanimate	okular → lins → bryta → avböja → böja → krokig → rak → PRIM..1
tårtspade	tårtspade..nn.1	562	inanimate	tårtspade → servera → bjuda → ge → åt → till → PRIM..1
grundskott	grundskott..nn.1	689	inanimate	grundskott → skott → skjuta → träffa → nå → fram → framme → till → PRIM..1
äventyrsbok	äventyrsbok..nn.1	421	inanimate	äventyrsbok → bok → läsa → se → ljus → PRIM..1
klafs	klafs..nn.1	413	inanimate	klafs → klafsa → trampa → fot → kroppsdel → kropp → varelse → vem → PRIM..1
djungeltelegraf	djungeltelegraf..nn.1	793	inanimate	djungeltelegraf → rykte → nyhet → neo → nära → vid → PRIM..1
slöhet	slöhet..nn.1	1008	inanimate	slöhet → slö → kraftlös → svag → stark → orka → kunna → möjlig → ja → PRIM..1
meckande	meckande..nn.1	942	inanimate	meckande → mecka → arbeta → göra → PRIM..1
knästående	knästående..nn.1	712	inanimate	knästående → stå → opp → oppe → på → PRIM..1
informationsdisk	informationsdisk..nn.1	751	inanimate	informationsdisk → disk → betjäna → tjäna → arbeta → göra → PRIM..1
radavstånd	radavstånd..nn.1	1873	inanimate	radavstånd → mellanrum → mellan → II → ental → tal → multi → mycken → PRIM..1
vattenväsen	vattenväsen..nn.1	1510	inanimate	vattenväsen → väsen → varelse → vem → PRIM..1
kvinnoideal	kvinnoideal..nn.1	1423	inanimate	kvinnoideal → ideal → bäst → bra → PRIM..1
mohikan	mohikan..nn.1	1416	inanimate	mohikan → indianstam → stam → folkslag → slag → sån → så → hur → PRIM..1
sexskandal	sexskandal..nn.1	1670	inanimate	sexskandal → skandal → uppröra → arg → glad → bra → PRIM..1
mångkamp	mångkamp..nn.1	2138	inanimate	mångkamp → sportgren → gren → avdelning → del → hel → all → PRIM..1
styrsel	styrsel..nn.1	2203	inanimate	styrsel → kontroll → kontrollera → styra → tvinga → måste → PRIM..1
byggnadsteknik	byggnadsteknik..nn.1	2392	inanimate	byggnadsteknik → teknik → kunskap → kunna → veta → PRIM..1
rågsikt	rågsikt..nn.1	2564	inanimate	rågsikt → mjöl → säd → odla → växa → växt → växa → utveckla sig → bli → börja → först → före → PRIM..1
förstuga	förstuga..nn.1	3273	inanimate	förstuga → farstu → rum → hus → bygga → tillverka → skapa → göra → PRIM..1
lustgård	lustgård..nn.1	5090	inanimate	lustgård → ställe → plats → var → PRIM..1
strandkant	strandkant..nn.1	6292	inanimate	strandkant → strand → kant → vid → PRIM..1
mjölktand	mjölktand..nn.1	5799	inanimate	mjölktand → tand → bita → ihop → samman → med → ha → PRIM..1
lipsill	lipsill..nn.1	4230	inanimate	lipsill → lipa → gråta → ledsen → glad → bra → PRIM..1
förstadium	förstadium..nn.1	4927	inanimate	förstadium → stadium → tid → när → PRIM..1
pendlare	pendlare..nn.1	11510	inanimate	pendlare → pendla → resa → röra → PRIM..1
motorman	motorman..nn.1	7368	inanimate	motorman → motorfordon → fordon → åka → röra → PRIM..1
shipping	shipping..nn.1	9541	inanimate	shipping → rederiverksamhet → rederi → fartyg → båt → åka → röra → PRIM..1
studievägledare	studievägledare..nn.1	12778	inanimate	studievägledare → vägledning → vägleda → råda → hjälpa → ge → åt → till → PRIM..1
konsumentfråga	konsumentfråga..nn.1	7186	inanimate	konsumentfråga → fråga → gälla → angå → vid → PRIM..1
barnflicka	barnflicka..nn.1	24271	inanimate	barnflicka → sköta → vårda → fin → vacker → bra → PRIM..1
fossil	fossil..nn.1	22555	inanimate	fossil → kvarleva → rest → kvar → här → var → PRIM..1
förmodan	förmodan..nn.1	25020	inanimate	förmodan → förmoda → tro → sann → riktig → bra → PRIM..1
pelare	pelare..nn.1	29050	inanimate	pelare → hög → st → mycken → PRIM..1
modernisering	modernisering..nn.1	26052	inanimate	modernisering → modernisera → modern → neo → nära → vid → PRIM..1
egentid	egentid..nn.1	86302	inanimate	egentid → tid → när → PRIM..1
avslut	avslut..nn.1	121919	inanimate	avslut → överenskommelse → överens → samma → en → tal → multi → mycken → PRIM..1
hus	hus..nn.1	2319422	inanimate	hus → bygga → tillverka → skapa → göra → PRIM..1
tå	tå..nn.1	273117	inanimate	tå → fot → kroppsdel → kropp → varelse → vem → PRIM..1
teknologi	teknologi..nn.1	66470	inanimate	teknologi → teknik → kunskap → kunna → veta → PRIM..1
